fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística,nombre_show,nombre_local
2023-10-15,8.3,Amigos,7.5,7.5,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-08-04,10,Solo,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-09-17,7.5,Pareja,7.5,7.5,7.5,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-10-15,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-10-16,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-09-29,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-08-05,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-04-23,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-04-24,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-07-01,10,Family,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-04-23,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-04-24,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-02-27,8.3,Pareja,5,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-02-27,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-01-21,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-02-27,9.1,Pareja,10,7.5,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-03-27,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2022-11-28,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-01-21,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-01-21,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-02-27,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-02-25,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2022-11-27,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-01-23,10,Amigos,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2022-11-07,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-01-22,10,Pareja,10,10,10,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-02-25,5.8,Amigos,5,7.5,5,Pablo Meixe - ¿Quién aguanta esto?,Beer Station - Sala 1
2023-09-20,8.3,Amigos,7.5,7.5,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-09-07,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-09-21,9.1,Amigos,10,10,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-09-21,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-04-27,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-01,7.5,Amigos,7.5,7.5,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-11-24,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-15,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-02-16,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-02-15,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-15,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-15,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-01,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-10-19,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-10-19,9.1,Pareja,10,10,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-01-01,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-17,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-03-16,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2023-01-25,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-25,10,Family,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-11,10,Family,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-04-03,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2021-11-26,9.1,Pareja,10,7.5,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-03-30,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-01-26,10,Solo,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-03-31,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-10-06,7.5,Amigos,7.5,7.5,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-01-27,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-01-13,10,Solo,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-03-22,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-10-05,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-06-16,7.5,Family,7.5,7.5,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-01-12,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-04-05,7.5,Solo,7.5,7.5,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2021-11-27,10,Solo,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-04-05,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-03-31,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-04-05,9.1,Pareja,10,7.5,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-25,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2021-12-15,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-10-06,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-28,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-01-27,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-09-22,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-25,10,Family,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-04-05,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2021-12-15,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-09-21,8.3,Pareja,7.5,10,7.5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-11,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-10-06,10,Pareja,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-05-12,10,Amigos,10,10,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2021-10-06,9.1,Amigos,10,7.5,10,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-11-10,5,Family,5,5,5,"La Bromerie Open Special Edition, en Beer Station",Beer Station - Sala 1
2022-06-27,8.3,Amigos,7.5,10,7.5,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-06-26,10,Family,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-05-22,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-03-13,10,Amigos,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-04-25,10,Solo,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-04-24,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-05-26,10,Family,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-05-23,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-03-15,9.1,Pareja,10,7.5,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-04-25,10,Solo,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-03-14,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-07-11,10,Amigos,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-05-23,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-03-14,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-06-26,10,Pareja,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-09-19,10,Amigos,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2022-02-27,10,Amigos,10,10,10,"Chochito, un monólogo de Carmen Romero",Beer Station - Sala 1
2023-10-08,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-09-08,10,Amigos,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-09-27,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-09-18,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-07-23,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-20,7.5,Pareja,7.5,7.5,7.5,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-07,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-02,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-03,9.1,Pareja,10,7.5,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-23,10,Pareja,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-07-23,10,Amigos,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-02,10,Amigos,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-10,10,Amigos,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
2023-08-10,10,Amigos,10,10,10,"Isabel Rey - Diva de barrio, un show de comedia",Beer Station - Sala 1
