fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística,nombre_show,nombre_local
2023-10-01,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-09-24,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-09-11,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-10-06,10,Solo,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-10-05,10,Solo,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-09-19,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-09-11,8.3,Pareja,10,5,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-09-12,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-09-14,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-05-17,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-06-26,10,Family,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-05-03,8.3,Pareja,7.5,7.5,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-06-28,10,Family,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-05-02,9.1,Pareja,10,7.5,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-04-19,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-05-17,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-06-27,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-06-20,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-07-03,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-05-09,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-04-26,10,Family,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-06-19,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-05-29,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-03-22,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-12-14,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-01-24,10,Family,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-01-19,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-02-07,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-03-28,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-02-21,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-11-15,10,Amigos,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-11-14,10,Solo,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-11-21,9.1,Amigos,10,10,7.5,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-11-22,9.1,Amigos,7.5,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2023-01-03,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-12-22,10,Pareja,10,10,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
2022-12-21,9.1,Amigos,10,7.5,10,Ignatius Farray presenta nuevo show STAND-UP COMEDY,Beer Station - Sala 1
