url,local,nombre_show,n_opiniones,num_paginas
/entradas/los-monologos-de-el-golfo-comedy-club-en-madrid_e4855895/,El Golfo Comedy Club,Los Monologos De El Golfo Comedy Club En Madrid,1731,174
/entradas/malasana-los-mejores-monologos-de-madrid_e4884809/,Estación Malasaña,Malasana Los Mejores Monologos De Madrid,1263,127
/entradas/noches-de-comedia-monologos-en-madrid_e4895170/,El Sombrerero Comedy Club,Noches De Comedia Monologos En Madrid,925,93
/entradas/impro-fever_e4874545/,Teatro de las Aguas,Impro Fever,425,43
/entradas/aguantame-el-cubata-que-me-da-la-risa-juan-aroca_e4864591/,Teatro de las Aguas,Aguantame El Cubata Que Me Da La Risa Juan Aroca,866,87
/entradas/los-monologos-del-teatro-de-las-aguas_e4857627/,Teatro de las Aguas,Los Monologos Del Teatro De Las Aguas,1387,139
/entradas/los-monologos-de-clandestino-comedia-en-gran-via_e4885799/,Clandestino Café Teatro,Los Monologos De Clandestino Comedia En Gran Via,95,10
/entradas/situaciones-incomodas-marcos-arizmendi_e4888004/,Clandestino Café Teatro,Situaciones Incomodas Marcos Arizmendi,13,2
/entradas/monologos-de-humor-chocita-del-loro-gran-via_e284267/,Teatro Chocita del Loro - Gran Vía,Monologos De Humor Chocita Del Loro Gran Via,14429,1443
/entradas/impro-monologos-clandestinos_e4887821/,Clandestino Café Teatro,Impro Monologos Clandestinos,32,4
/entradas/solo-para-parejas-los-mejores-monologos-de-madrid_e4884612/,Estación Malasaña,Solo Para Parejas Los Mejores Monologos De Madrid,1225,123
/entradas/oye-siri-dime-joan_e4881265/,Teatro de las Aguas,Oye Siri Dime Joan,247,25
/entradas/el-micro-de-las-aguas-open-mic_e4888936/,Teatro de las Aguas,El Micro De Las Aguas Open Mic,18,2
/entradas/la-noche-de-los-monologos-_e4897724/,Estación Malasaña,La Noche De Los Monologos ,101240,10125
/entradas/un-monologo-de-puta-madre-juan-morales_e4881612/,Teatro de las Aguas,Un Monologo De Puta Madre Juan Morales,92,10
/entradas/no-estoy-bien-de-lo-mio-daniel-nevado_e4893130/,Teatro de las Aguas,No Estoy Bien De Lo Mio Daniel Nevado,12,2
/entradas/laboratorio-del-conejo-openmic_e4897732/,El Sombrerero Comedy Club,Laboratorio Del Conejo Openmic,34,4
