url,local,nombre_show,n_opiniones,num_paginas
/entradas/ignatius-farray-presenta-nuevo-show-stand-up-comedy_e82090/,Beer Station - Sala 1,Ignatius Farray presenta nuevo show STAND-UP COMEDY,571,58
/entradas/comedy-nights-monologos-en-beer-station_e4857642/,Beer Station - Sala 1,"Comedy Nights, monólogos en Beer Station",837,84
/entradas/hardcore-patricia-galvan_e4826004/,Beer Station - Sala 1,Hardcore - Patricia Galván,163,17
/entradas/yo-nunca-show-de-raul-massana_e289258/,Beer Station - Sala 1,"YO NUNCA SHOW,  de Raúl Massana",157,16
/entradas/pablo-meixe-quien-aguanta-esto_e4884331/,Beer Station - Sala 1,Pablo Meixe - ¿Quién aguanta esto?,27,3
/entradas/la-bromerie-open-special-edition-en-beer-station_e4867768/,Beer Station - Sala 1,"La Bromerie Open Special Edition, en Beer Station",53,6
/entradas/chochito-un-monologo-de-carmen-romero_e4873151/,Beer Station - Sala 1,"Chochito, un monólogo de Carmen Romero",17,2
/entradas/isabel-rey-diva-de-barrio-un-show-de-comedia_e4885417/,Beer Station - Sala 1,"Isabel Rey - Diva de barrio, un show de comedia",51,6
/entradas/ruben-faura-la-hora-del-psicologo_e4884398/,Beer Station - Sala 1,Rubén Faura - La hora del psicólogo,288,29
/entradas/luis-alvaro-el-espectaculo_e64297/,Beer Station - Sala 1,Luis Álvaro - El espectáculo,203,21
/entradas/jaime-caravaca-y-su-experiencia-comica-definitiva_e4871183/,Beer Station - Sala 1,Jaime Caravaca y Su Experiencia Cómica Definitiva,24,3
/entradas/david-rodri-multitask-y-mileurista-en-beer-station_e4886140/,Beer Station - Sala 1,"David Rodri - Multitask y mileurista, en Beer Station",52,6
/entradas/comedia-anonima-micro-abierto-de-comedia-_e4887659/,Beer Station - Sala 1,Comedia Anónima (micro abierto de comedia),10,2
/entradas/open-beer-open-mic-de-stand-up-comedy_e4857079/,Beer Station - Sala 1,Open Beer - Open Mic de stand-up comedy,136,14
/entradas/sparks-el-show-de-humor-negro-silvia-sparks_e4857298/,Beer Station - Sala 1,Sparks- El show de humor negro - Silvia Sparks,64,7
/entradas/nene-que-me-jodan-un-monologo-muy-jodido_e4858084/,Beer Station - Sala 1,"Nene, ¡Que me jodan! , un monólogo muy jodido",38,4
/entradas/mamarrachas-open-mic_e4890894/,Beer Station - Sala 1,Mamarrachas Open Mic,17,2
/entradas/mierda-fresca-open-stand-up-comedy-presentado-por-richard-salamanca_e4856451/,Beer Station - Sala 1,Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,52,6
/entradas/ladys-night-en-beer-station_e4856010/,Beer Station - Sala 1,Ladys Night en Beer Station,94,10
/entradas/carmen-romero-y-bianca-kovacs-odio-a-la-gente-podcast_e4855684/,Beer Station - Sala 1,Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,25,3
/entradas/kalderas-stand-up-comedy_e4818553/,Beer Station - Sala 1,Kalderas - Stand Up Comedy,66,7
/entradas/jaja-party-presentado-por-javi-duran_e4888140/,Beer Station - Sala 1,Jaja Party - Presentado por Javi Durán,13,2
/entradas/salomon-y-jose-andres-monologos_e4887842/,Beer Station - Sala 1,Salomón y Jose Andrés - Monólogos,6,1
/entradas/javi-duran-intimissimi_e4898650/,Beer Station - Sala 1,Javi Durán - Intimissimi,6,1
/entradas/regular-angel-codon-_e4899818/,Beer Station - Sala 1,Regular - Ángel Codón,0,1
/entradas/vaquero_e4856564/,Beer Station - Sala 1,Vaquero,7,1
/entradas/pringer-a-los-que-das-a-la-izquierda_e4891471/,Beer Station - Sala 1,Pringer: a los que das a la izquierda,1,1
/entradas/quique-matilla-vastante-vien_e4883705/,Beer Station - Sala 1,Quique Matilla - Vastante vien,3,1
